,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,W21X132,W21X132,F,132,38.8,21.8,21  7/8 ,12.4,12  1/2 ,0.650,  5/8 ,  5/16,1.04,1  1/16,1.54,2  1/4 ,1  9/16,6.01,28.9,3220,333,295,9.12,333,82.3,53.5,2.93,11.3,36000,64.4,3.43,20.8,164,,,78.6,91.0,56.0,68.4,17  1/4 ,5  1/2 ,–,W530X196,W530X196,196,25000,554,556,315,318,16.5,15.9,7.94,26.4,27.0,39.1,57.2,39.7,6.01,28.9,1340,5460,4830,232,139,1350,877,74.4,4700,9670,41500,85.7,1030,2690,87.1,528,2000,2310,1420,1740,438,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,W21X122,W21X122,F,122,35.9,21.7,21  5/8 ,12.4,12  3/8 ,0.600,  5/8 ,  5/16,0.960, 15/16,1.46,2  1/4 ,1  1/2 ,6.45,31.3,2960,307,273,9.09,305,75.6,49.2,2.92,8.98,32700,64.3,3.40,20.7,153,,,78.5,90.9,55.8,68.2,17  1/4 ,5  1/2 ,–,W530X182,W530X182,182,23200,551,549,315,314,15.2,15.9,7.94,24.4,23.8,37.1,57.2,38.1,6.45,31.3,1230,5030,4470,231,127,1240,806,74.2,3740,8780,41500,79.5,962,2510,86.4,526,1990,2310,1420,1730,438,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,W21X111,W21X111,F,111,32.6,21.5,21  1/2 ,12.3,12  3/8 ,0.550,  9/16,  5/16,0.875,  7/8 ,1.38,2  1/8 ,1  1/2 ,7.05,34.1,2670,279,249,9.05,274,68.2,44.5,2.90,6.83,29200,63.4,3.37,20.6,138,,,77.9,90.2,55.3,67.6,17  1/4 ,5  1/2 ,–,W530X165,W530X165,165,21000,546,546,312,314,14.0,14.3,7.94,22.2,22.2,35.1,54.0,38.1,7.05,34.1,1110,4570,4080,230,114,1120,729,73.7,2840,7840,40900,71.2,869,2260,85.6,523,1980,2290,1400,1720,438,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,W21X101,W21X101,F,101,29.8,21.4,21  3/8 ,12.3,12  1/4 ,0.500,  1/2 ,  1/4 ,0.800, 13/16,1.30,2  1/16,1  7/16,7.68,37.5,2420,253,227,9.02,248,61.7,40.3,2.89,5.21,26200,63.3,3.35,20.6,126,,,77.8,90.1,55.1,67.4,17  1/4 ,5  1/2 ,–,W530X150,W530X150,150,19200,544,543,312,311,12.7,12.7,6.35,20.3,20.6,33.0,52.4,36.5,7.68,37.5,1010,4150,3720,229,103,1010,660,73.4,2170,7040,40800,64.9,796,2060,85.1,523,1980,2290,1400,1710,438,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,W21X93,W21X93,F,93.0,27.3,21.6,21  5/8 ,8.42,8  3/8 ,0.580,  9/16,  5/16,0.930, 15/16,1.43,1  5/8 , 15/16,4.53,32.3,2070,221,192,8.70,92.9,34.7,22.1,1.84,6.03,9940,43.5,2.24,20.7,109,,,66.5,74.9,51.6,60.0,18  3/8 ,5  1/2 ,–,W530X138,W530X138,138,17600,549,549,214,213,14.7,14.3,7.94,23.6,23.8,36.3,41.3,23.8,4.53,32.3,862,3620,3150,221,38.7,569,362,46.7,2510,2670,28100,35.5,618,1790,56.9,526,1690,1900,1310,1520,467,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,W21X83,W21X83,F,83.0,24.4,21.4,21  3/8 ,8.36,8  3/8 ,0.515,  1/2 ,  1/4 ,0.835, 13/16,1.34,1  1/2 ,  7/8 ,5.00,36.4,1830,196,171,8.67,81.4,30.5,19.5,1.83,4.34,8630,43.0,2.21,20.6,96.8,,,66.0,74.4,51.2,59.5,18  3/8 ,5  1/2 ,–,W530X123,W530X123,123,15700,544,543,212,213,13.1,12.7,6.35,21.2,20.6,34.0,38.1,22.2,5.00,36.4,762,3210,2800,220,33.9,500,320,46.5,1810,2320,27700,31.2,552,1590,56.1,523,1680,1890,1300,1510,467,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,W21X73,W21X73,F,73.0,21.5,21.2,21  1/4 ,8.30,8  1/4 ,0.455,  7/16,  1/4 ,0.740,  3/4 ,1.24,1  7/16,  7/8 ,5.60,41.2,1600,172,151,8.64,70.6,26.6,17.0,1.81,3.02,7410,42.5,2.19,20.5,85.0,,,65.5,73.8,50.7,59.0,18  3/8 ,5  1/2 ,–,W530X109,W530X109,109,13900,538,540,211,210,11.6,11.1,6.35,18.8,19.0,31.5,36.5,22.2,5.60,41.2,666,2820,2470,219,29.4,436,279,46.0,1260,1990,27400,27.1,487,1390,55.6,521,1660,1870,1290,1500,467,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,W21X68,W21X68,F,68.0,20.0,21.1,21  1/8 ,8.27,8  1/4 ,0.430,  7/16,  1/4 ,0.685, 11/16,1.19,1  3/8 ,  7/8 ,6.04,43.6,1480,160,140,8.60,64.7,24.4,15.7,1.80,2.45,6760,42.2,2.17,20.4,78.7,,,65.3,73.6,50.5,58.7,18  3/8 ,5  1/2 ,–,W530X101,W530X101,101,12900,536,537,210,210,10.9,11.1,6.35,17.4,17.5,30.2,34.9,22.2,6.04,43.6,616,2620,2290,218,26.9,400,257,45.7,1020,1820,27200,24.9,449,1290,55.1,518,1660,1870,1280,1490,467,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,W21X62,W21X62,F,62.0,18.3,21.0,21      ,8.24,8  1/4 ,0.400,  3/8 ,  3/16,0.615,  5/8 ,1.12,1  5/16, 13/16,6.70,46.9,1330,144,127,8.54,57.5,21.7,14.0,1.77,1.83,5960,42.0,2.15,20.4,71.2,,,65.1,73.3,50.2,58.5,18  3/8 ,5  1/2 ,–,W530X92,W530X92,92.0,11800,533,533,209,210,10.2,9.52,4.76,15.6,15.9,28.4,33.3,20.6,6.70,46.9,554,2360,2080,217,23.9,356,229,45.0,762,1600,27100,22.1,403,1170,54.6,518,1650,1860,1280,1490,467,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,W21X55,W21X55,F,55.0,16.2,20.8,20  3/4 ,8.22,8  1/4 ,0.375,  3/8 ,  3/16,0.522,  1/2 ,1.02,1  3/16, 13/16,7.87,50.0,1140,126,110,8.40,48.4,18.4,11.8,1.73,1.24,4980,41.7,2.11,20.3,61.8,,,64.7,72.9,49.8,58.0,18  3/8 ,5  1/2 ,–,W530X82,W530X82,82.0,10500,528,527,209,210,9.53,9.52,4.76,13.3,12.7,25.9,30.2,20.6,7.87,50.0,475,2060,1800,213,20.1,302,193,43.9,516,1340,26900,18.6,341,1010,53.6,515,1640,1850,1260,1470,467,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,W21X48,W21X48,F,48.0,14.1,20.6,20  5/8 ,8.14,8  1/8 ,0.350,  3/8 ,  3/16,0.430,  7/16,0.930,1  1/8 , 13/16,9.47,53.6,959,107,93.0,8.24,38.7,14.9,9.52,1.66,0.803,3950,41.0,2.05,20.2,52.3,,,64.1,72.2,49.3,57.5,18  3/8 ,5  1/2 ,–,W530X72,W530X72,72.0,9100,523,524,207,206,8.89,9.52,4.76,10.9,11.1,23.6,28.6,20.6,9.47,53.6,399,1750,1520,209,16.1,244,156,42.2,334,1060,26500,14.9,277,857,52.1,513,1630,1830,1250,1460,467,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,W21X57,W21X57,F,57.0,16.7,21.1,21      ,6.56,6  1/2 ,0.405,  3/8 ,  3/16,0.650,  5/8 ,1.15,1  5/16, 13/16,5.04,46.3,1170,129,111,8.36,30.6,14.8,9.35,1.35,1.77,3190,33.5,1.68,20.5,63.4,,,60.2,66.8,48.8,55.3,18  3/8 ,3  1/2 ,–,W530X85,W530X85,85.0,10800,536,533,167,165,10.3,9.52,4.76,16.5,15.9,29.2,33.3,20.6,5.04,46.3,487,2110,1820,212,12.7,243,153,34.3,737,857,21600,14.9,336,1040,42.7,521,1530,1700,1240,1400,467,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,W21X50,W21X50,F,50.0,14.7,20.8,20  7/8 ,6.53,6  1/2 ,0.380,  3/8 ,  3/16,0.535,  9/16,1.04,1  1/4 , 13/16,6.10,49.4,984,110,94.5,8.18,24.9,12.2,7.64,1.30,1.14,2570,33.1,1.64,20.3,53.9,,,59.6,66.1,48.1,54.7,18  3/8 ,3  1/2 ,–,W530X74,W530X74,74.0,9480,528,530,166,165,9.65,9.52,4.76,13.6,14.3,26.4,31.8,20.6,6.10,49.4,410,1800,1550,208,10.4,200,125,33.0,475,690,21400,12.0,274,883,41.7,516,1510,1680,1220,1390,467,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,W21X44,W21X44,F,44.0,13.0,20.7,20  5/8 ,6.50,6  1/2 ,0.350,  3/8 ,  3/16,0.450,  7/16,0.950,1  1/8 , 13/16,7.22,53.6,843,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.770,2110,32.9,1.60,20.3,46.8,,,59.3,65.8,47.9,54.4,18  3/8 ,3  1/2 ,–,W530X66,W530X66,66.0,8390,526,524,165,165,8.89,9.52,4.76,11.4,11.1,24.1,28.6,20.6,7.22,53.6,351,1560,1340,205,8.62,167,104,32.0,320,567,21200,10.0,229,767,40.6,516,1510,1670,1220,1380,467,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,W18X311,W18X311,T,311,91.6,22.3,22  3/8 ,12.0,12      ,1.52,1  1/2 ,  3/4 ,2.74,2  3/4 ,3.24,3  9/16,1  9/16,2.19,10.4,6970,754,624,8.72,795,207,132,2.95,176,76200,58.7,3.53,19.6,375,,,76.7,88.7,56.6,68.6,15  1/8 ,5  1/2 ,–,W460X464,W460X464,464,59100,566,568,305,305,38.6,38.1,19.0,69.6,69.8,82.3,90.5,39.7,2.19,10.4,2900,12400,10200,221,331,3390,2160,74.9,73300,20500,37900,201,2290,6150,89.7,498,1950,2250,1440,1740,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,W18X283,W18X283,T,283,83.3,21.9,21  7/8 ,11.9,11  7/8 ,1.40,1  3/8 , 11/16,2.50,2  1/2 ,3.00,3  3/8 ,1  1/2 ,2.38,11.3,6170,676,565,8.61,704,185,118,2.91,134,65900,57.7,3.47,19.4,339,,,75.8,87.7,55.7,67.6,15  1/8 ,5  1/2 ,–,W460X421,W460X421,421,53700,556,556,302,302,35.6,34.9,17.5,63.5,63.5,76.2,85.7,38.1,2.38,11.3,2570,11100,9260,219,293,3030,1930,73.9,55800,17700,37200,179,2080,5560,88.1,493,1930,2230,1410,1720,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,W18X258,W18X258,T,258,76.0,21.5,21  1/2 ,11.8,11  3/4 ,1.28,1  1/4 ,  5/8 ,2.30,2  5/16,2.70,3  3/16,1  7/16,2.56,12.5,5510,611,514,8.53,628,166,107,2.88,103,57600,56.6,3.42,19.2,306,,,75.1,86.9,54.8,66.6,15  1/8 ,5  1/2 ,–,W460X384,W460X384,384,49000,546,546,300,298,32.5,31.8,15.9,58.4,58.7,68.6,81.0,36.5,2.56,12.5,2290,10000,8420,217,261,2720,1750,73.2,42900,15500,36500,160,1900,5010,86.9,488,1910,2210,1390,1690,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,W18X234,W18X234,T,234,68.6,21.1,21      ,11.7,11  5/8 ,1.16,1  3/16,  5/8 ,2.11,2  1/8 ,2.51,3      ,1  3/8 ,2.76,13.8,4900,549,466,8.44,558,149,95.8,2.85,78.7,50100,55.5,3.37,19.0,276,,,74.3,86.0,53.9,65.6,15  1/8 ,5  1/2 ,–,W460X349,W460X349,349,44300,536,533,297,295,29.5,30.2,15.9,53.6,54.0,63.8,76.2,34.9,2.76,13.8,2040,9000,7640,214,232,2440,1570,72.4,32800,13500,35800,143,1740,4520,85.6,483,1890,2180,1370,1670,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,W18X211,W18X211,F,211,62.3,20.7,20  5/8 ,11.6,11  1/2 ,1.06,1  1/16,  9/16,1.91,1 15/16,2.31,2 13/16,1  3/8 ,3.02,15.1,4330,490,419,8.35,493,132,85.3,2.82,58.6,43400,54.5,3.32,18.8,246,,,73.4,85.0,53.0,64.6,15  1/8 ,5  1/2 ,–,W460X315,W460X315,315,40200,526,524,295,292,26.9,27.0,14.3,48.5,49.2,58.7,71.4,34.9,3.02,15.1,1800,8030,6870,212,205,2160,1400,71.6,24400,11700,35200,126,1550,4030,84.3,478,1860,2160,1350,1640,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,W18X192,W18X192,F,192,56.2,20.4,20  3/8 ,11.5,11  1/2 ,0.960, 15/16,  1/2 ,1.75,1  3/4 ,2.15,2  5/8 ,1  5/16,3.27,16.7,3870,442,380,8.28,440,119,76.8,2.79,44.7,38000,53.6,3.28,18.7,222,,,72.7,84.2,52.3,63.8,15  1/8 ,5  1/2 ,–,W460X286,W460X286,286,36300,518,518,292,292,24.4,23.8,12.7,44.5,44.4,54.6,66.7,33.3,3.27,16.7,1610,7240,6230,210,183,1950,1260,70.9,18600,10200,34600,112,1410,3640,83.3,475,1850,2140,1330,1620,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,W18X175,W18X175,F,175,51.4,20.0,20      ,11.4,11  3/8 ,0.890,  7/8 ,  7/16,1.59,1  9/16,1.99,2  7/16,1  1/4 ,3.58,18.0,3450,398,344,8.20,391,106,68.8,2.76,33.8,33300,52.5,3.24,18.4,198,,,71.7,83.1,51.4,62.8,15  1/8 ,5  1/2 ,–,W460X260,W460X260,260,33200,508,508,290,289,22.6,22.2,11.1,40.4,39.7,50.5,61.9,31.8,3.58,18.0,1440,6520,5640,208,163,1740,1130,70.1,14100,8940,33900,99.1,1260,3240,82.3,467,1820,2110,1310,1600,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,W18X158,W18X158,F,158,46.3,19.7,19  3/4 ,11.3,11  1/4 ,0.810, 13/16,  7/16,1.44,1  7/16,1.84,2  3/8 ,1  1/4 ,3.92,19.8,3060,356,310,8.12,347,94.8,61.4,2.74,25.2,29000,51.6,3.20,18.3,177,,,71.0,82.3,50.7,62.0,15  1/8 ,5  1/2 ,–,W460X235,W460X235,235,29900,500,502,287,286,20.6,20.6,11.1,36.6,36.5,46.7,60.3,31.8,3.92,19.8,1270,5830,5080,206,144,1550,1010,69.6,10500,7790,33300,87.4,1130,2900,81.3,465,1800,2090,1290,1570,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,W18X143,W18X143,F,143,42.0,19.5,19  1/2 ,11.2,11  1/4 ,0.730,  3/4 ,  3/8 ,1.32,1  5/16,1.72,2  3/16,1  3/16,4.25,22.0,2750,322,282,8.09,311,85.4,55.5,2.72,19.2,25700,50.9,3.17,18.2,160,,,70.4,81.6,50.2,61.4,15  1/8 ,5  1/2 ,–,W460X213,W460X213,213,27100,495,495,284,286,18.5,19.0,9.52,33.5,33.3,43.7,55.6,30.2,4.25,22.0,1140,5280,4620,205,129,1400,909,69.1,7990,6900,32800,78.3,1030,2620,80.5,462,1790,2070,1280,1560,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,W18X130,W18X130,F,130,38.3,19.3,19  1/4 ,11.2,11  1/8 ,0.670, 11/16,  3/8 ,1.20,1  3/16,1.60,2  1/16,1  3/16,4.65,23.9,2460,290,256,8.03,278,76.7,49.9,2.70,14.5,22700,50.7,3.13,18.1,146,,,70.2,81.4,49.8,61.0,15  1/8 ,5  1/2 ,–,W460X193,W460X193,193,24700,490,489,284,283,17.0,17.5,9.52,30.5,30.2,40.6,52.4,30.2,4.65,23.9,1020,4750,4200,204,116,1260,818,68.6,6040,6100,32700,70.8,937,2390,79.5,460,1780,2070,1260,1550,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,W18X119,W18X119,F,119,35.1,19.0,19      ,11.3,11  1/4 ,0.655,  5/8 ,  5/16,1.06,1  1/16,1.46,1 15/16,1  3/16,5.31,24.5,2190,262,231,7.90,253,69.1,44.9,2.69,10.6,20300,50.7,3.13,17.9,131,,,69.9,81.2,49.3,60.6,15  1/8 ,5  1/2 ,–,W460X177,W460X177,177,22600,483,483,287,286,16.6,15.9,7.94,26.9,27.0,37.1,49.2,30.2,5.31,24.5,912,4290,3790,201,105,1130,736,68.3,4410,5450,32700,63.3,829,2150,79.5,455,1780,2060,1250,1540,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,W18X106,W18X106,F,106,31.1,18.7,18  3/4 ,11.2,11  1/4 ,0.590,  9/16,  5/16,0.940, 15/16,1.34,1 13/16,1  1/8 ,5.96,27.2,1910,230,204,7.84,220,60.5,39.4,2.66,7.48,17400,49.7,3.10,17.8,114,,,69.1,80.3,48.6,59.8,15  1/8 ,5  1/2 ,–,W460X158,W460X158,158,20100,475,476,284,286,15.0,14.3,7.94,23.9,23.8,34.0,46.0,28.6,5.96,27.2,795,3770,3340,199,91.6,991,646,67.6,3110,4670,32100,54.5,726,1870,78.7,452,1760,2040,1230,1520,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,W18X97,W18X97,F,97.0,28.5,18.6,18  5/8 ,11.1,11  1/8 ,0.535,  9/16,  5/16,0.870,  7/8 ,1.27,1  3/4 ,1  1/8 ,6.41,30.0,1750,211,188,7.82,201,55.3,36.1,2.65,5.86,15800,49.2,3.08,17.7,105,,,68.7,79.8,48.3,59.4,15  1/8 ,5  1/2 ,–,W460X144,W460X144,144,18400,472,473,282,283,13.6,14.3,7.94,22.1,22.2,32.3,44.5,28.6,6.41,30.0,728,3460,3080,199,83.7,906,592,67.3,2440,4240,31700,49.5,667,1720,78.2,450,1740,2030,1230,1510,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,W18X86,W18X86,F,86.0,25.3,18.4,18  3/8 ,11.1,11  1/8 ,0.480,  1/2 ,  1/4 ,0.770,  3/4 ,1.17,1  5/8 ,1  1/16,7.20,33.4,1530,186,166,7.77,175,48.4,31.6,2.63,4.10,13600,48.9,3.05,17.6,92.4,,,68.4,79.5,47.9,59.0,15  1/8 ,5  1/2 ,–,W460X128,W460X128,128,16300,467,467,282,283,12.2,12.7,6.35,19.6,19.0,29.7,41.3,27.0,7.20,33.4,637,3050,2720,197,72.8,793,518,66.8,1710,3650,31500,43.7,590,1510,77.5,447,1740,2020,1220,1500,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,W18X76,W18X76,F,76.0,22.3,18.2,18  1/4 ,11.0,11      ,0.425,  7/16,  1/4 ,0.680, 11/16,1.08,1  9/16,1  1/16,8.11,37.8,1330,163,146,7.73,152,42.2,27.6,2.61,2.83,11700,48.2,3.02,17.5,80.6,,,67.9,78.9,47.4,58.4,15  1/8 ,5  1/2 ,–,W460X113,W460X113,113,14400,462,464,279,279,10.8,11.1,6.35,17.3,17.5,27.4,39.7,27.0,8.11,37.8,554,2670,2390,196,63.3,692,452,66.3,1180,3140,31100,37.5,516,1320,76.7,444,1720,2000,1200,1480,384,140,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,W18X71,W18X71,F,71.0,20.9,18.5,18  1/2 ,7.64,7  5/8 ,0.495,  1/2 ,  1/4 ,0.810, 13/16,1.21,1  1/2 ,  7/8 ,4.71,32.4,1170,146,127,7.50,60.3,24.7,15.8,1.70,3.49,4700,33.8,2.05,17.7,72.4,,,58.3,65.9,44.6,52.3,15  1/2 ,3  1/2 ,–,W460X106,W460X106,106,13500,470,470,194,194,12.6,12.7,6.35,20.6,20.6,30.7,38.1,22.2,4.71,32.4,487,2390,2080,191,25.1,405,259,43.2,1450,1260,21800,21.8,420,1190,52.1,450,1480,1670,1130,1330,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,W18X65,W18X65,F,65.0,19.1,18.4,18  3/8 ,7.59,7  5/8 ,0.450,  7/16,  1/4 ,0.750,  3/4 ,1.15,1  7/16,  7/8 ,5.06,35.7,1070,133,117,7.49,54.8,22.5,14.4,1.69,2.73,4240,33.5,2.03,17.7,66.3,,,58.0,65.6,44.4,52.0,15  1/2 ,3  1/2 ,–,W460X97,W460X97,97.0,12300,467,467,193,194,11.4,11.1,6.35,19.1,19.0,29.2,36.5,22.2,5.06,35.7,445,2180,1920,190,22.8,369,236,42.9,1140,1140,21600,19.9,387,1090,51.6,450,1470,1670,1130,1320,394,88.9,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
