Type,EDI_Std_Nomenclature,AISC_Manual_Label,Design Wall Thickness,Nominal Weight,"Area, A","Depth, d",,Web/Stem,,,,Flange,,,,Distance,,,,,,Shear Critical,Compact Section Criteria,,,b/t,h/t,D/t,Axis X - X,,,,,,Axis Y - Y,,,,,,Axis Z - Z,,,,rts,ho,J/Sxho,Workable Flat,,Torsional Properties,,,,, Surface Area 
,,,,,,,,,,,,,,,,k,,k1,T,Workable Gage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,t,W,,,,"Thickness, tw",,tw/2,Area,"Width, bf",,"Thickness, tf",,kdes,kdet,,,WGi,WGo,eo,,,,,,,I,S,r,y?,Z,yp,I,S,r,x?,Z,xp,I,S,r,tan ?,,,,Depth,Width,J,C,Cw,r?o,H,
,,,in.,lb/ft,in.2,in.,,in.,,in.,in.2,in.,,in.,,in.,,in.,in.,in.,in.,in.,bf/2tf,h/tw,d/tw,,,,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,,in.,in.,,in.,in.,in.4,in.3,in.6,in.,, ft2/ft 
Square HSS,HSS6X6X.375,HSS6X6X3/8,0.349,27.48,7.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.2,14.2,–,39.5,13.2,2.28,–,15.8,–,39.5,13.2,2.28,–,15.8,–,–,–,–,–,–,–,–,4  5/16,4  5/16,64.6,22.1,–,–,–, 1.900 
Square HSS,HSS6X6X.313,HSS6X6X5/16,0.291,23.34,6.43,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.6,17.6,,34.3,11.4,2.31,–,13.6,–,34.3,11.4,2.31,–,13.6,–,–,–,–,–,–,–,–,4  5/8 ,4  5/8 ,55.4,18.9,–,–,–, 1.920 
Square HSS,HSS6X6X.250,HSS6X6X1/4,0.233,19.02,5.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.8,22.8,–,28.6,9.54,2.34,–,11.2,–,28.6,9.54,2.34,–,11.2,–,–,–,–,–,–,–,–,4  7/8 ,4  7/8 ,45.6,15.4,–,–,–, 1.930 
Square HSS,HSS6X6X.188,HSS6X6X3/16,0.174,14.53,3.98,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,31.5,31.5,–,22.3,7.42,2.37,–,8.63,–,22.3,7.42,2.37,–,8.63,–,–,–,–,–,–,–,–,5  3/16,5  3/16,35.0,11.8,–,–,–, 1.950 
Square HSS,HSS6X6X.125,HSS6X6X1/8,0.116,9.86,2.70,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,48.7,48.7,–,15.5,5.15,2.39,–,5.92,–,15.5,5.15,2.39,–,5.92,–,–,–,–,–,–,–,–,5  7/16,5  7/16,23.9,8.03,–,–,–, 1.970 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS5-1/2X5-1/2X.375,HSS5-1/2X5-1/2X3/8,0.349,24.93,6.88,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.8,12.8,–,29.7,10.8,2.08,–,13.1,–,29.7,10.8,2.08,–,13.1,–,–,–,–,–,–,–,–,3 13/16,3 13/16,49.0,18.4,–,–,–, 1.730 
Square HSS,HSS5-1/2X5-1/2X.313,HSS5-1/2X5-1/2X5/16,0.291,21.21,5.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.9,15.9,,25.9,9.43,2.11,–,11.3,–,25.9,9.43,2.11,–,11.3,–,–,–,–,–,–,–,–,4  1/8 ,4  1/8 ,42.2,15.7,–,–,–, 1.750 
Square HSS,HSS5-1/2X5-1/2X.250,HSS5-1/2X5-1/2X1/4,0.233,17.32,4.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.6,20.6,–,21.7,7.90,2.13,–,9.32,–,21.7,7.90,2.13,–,9.32,–,–,–,–,–,–,–,–,4  3/8 ,4  3/8 ,34.8,12.9,–,–,–, 1.770 
Square HSS,HSS5-1/2X5-1/2X.188,HSS5-1/2X5-1/2X3/16,0.174,13.25,3.63,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.6,28.6,–,17.0,6.17,2.16,–,7.19,–,17.0,6.17,2.16,–,7.19,–,–,–,–,–,–,–,–,4 11/16,4 11/16,26.7,9.85,–,–,–, 1.780 
Square HSS,HSS5-1/2X5-1/2X.125,HSS5-1/2X5-1/2X1/8,0.116,9.01,2.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,44.4,44.4,–,11.8,4.30,2.19,–,4.95,–,11.8,4.30,2.19,–,4.95,–,–,–,–,–,–,–,–,4 15/16,4 15/16,18.3,6.72,–,–,–, 1.800 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS5X5X.500,HSS5X5X1/2,0.465,28.43,7.88,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.75,7.75,–,26.0,10.4,1.82,–,13.1,–,26.0,10.4,1.82,–,13.1,–,–,–,–,–,–,–,–,2  3/4 ,2  3/4 ,44.6,18.7,–,–,–, 1.530 
Square HSS,HSS5X5X.375,HSS5X5X3/8,0.349,22.37,6.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.3,11.3,–,21.7,8.68,1.87,–,10.6,–,21.7,8.68,1.87,–,10.6,–,–,–,–,–,–,–,–,3  5/16,3  5/16,36.1,14.9,–,–,–, 1.570 
Square HSS,HSS5X5X.313,HSS5X5X5/16,0.291,19.08,5.26,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.2,14.2,,19.0,7.62,1.90,–,9.16,–,19.0,7.62,1.90,–,9.16,–,–,–,–,–,–,–,–,3  5/8 ,3  5/8 ,31.2,12.8,–,–,–, 1.580 
Square HSS,HSS5X5X.250,HSS5X5X1/4,0.233,15.62,4.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.5,18.5,–,16.0,6.41,1.93,–,7.61,–,16.0,6.41,1.93,–,7.61,–,–,–,–,–,–,–,–,3  7/8 ,3  7/8 ,25.8,10.5,–,–,–, 1.600 
Square HSS,HSS5X5X.188,HSS5X5X3/16,0.174,11.97,3.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,25.7,25.7,–,12.6,5.03,1.96,–,5.89,–,12.6,5.03,1.96,–,5.89,–,–,–,–,–,–,–,–,4  3/16,4  3/16,19.9,8.08,–,–,–, 1.620 
Square HSS,HSS5X5X.125,HSS5X5X1/8,0.116,8.16,2.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40.1,40.1,–,8.80,3.52,1.99,–,4.07,–,8.80,3.52,1.99,–,4.07,–,–,–,–,–,–,–,–,4  7/16,4  7/16,13.7,5.53,–,–,–, 1.630 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS4-1/2X4-1/2X.500,HSS4-1/2X4-1/2X1/2,0.465,25.03,6.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.68,6.68,–,18.1,8.03,1.61,–,10.2,–,18.1,8.03,1.61,–,10.2,–,–,–,–,–,–,–,–,2  1/4 ,2  1/4 ,31.3,14.8,–,–,–, 1.370 
Square HSS,HSS4-1/2X4-1/2X.375,HSS4-1/2X4-1/2X3/8,0.349,19.82,5.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.89,9.89,–,15.3,6.79,1.67,–,8.36,–,15.3,6.79,1.67,–,8.36,–,–,–,–,–,–,–,–,2 13/16,2 13/16,25.7,11.9,–,–,–, 1.400 
Square HSS,HSS4-1/2X4-1/2X.313,HSS4-1/2X4-1/2X5/16,0.291,16.96,4.68,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.5,12.5,,13.5,6.00,1.70,–,7.27,–,13.5,6.00,1.70,–,7.27,–,–,–,–,–,–,–,–,3  1/8 ,3  1/8 ,22.3,10.2,–,–,–, 1.420 
Square HSS,HSS4-1/2X4-1/2X.250,HSS4-1/2X4-1/2X1/4,0.233,13.91,3.84,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.3,16.3,–,11.4,5.08,1.73,–,6.06,–,11.4,5.08,1.73,–,6.06,–,–,–,–,–,–,–,–,3  3/8 ,3  3/8 ,18.5,8.44,–,–,–, 1.430 
Square HSS,HSS4-1/2X4-1/2X.188,HSS4-1/2X4-1/2X3/16,0.174,10.70,2.93,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.9,22.9,–,9.02,4.01,1.75,–,4.71,–,9.02,4.01,1.75,–,4.71,–,–,–,–,–,–,–,–,3 11/16,3 11/16,14.4,6.49,–,–,–, 1.450 
Square HSS,HSS4-1/2X4-1/2X.125,HSS4-1/2X4-1/2X1/8,0.116,7.31,2.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35.8,35.8,–,6.35,2.82,1.78,–,3.27,–,6.35,2.82,1.78,–,3.27,–,–,–,–,–,–,–,–,3 15/16,3 15/16,9.92,4.45,–,–,–, 1.470 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS4X4X.500,HSS4X4X1/2,0.465,21.63,6.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.60,5.60,–,11.9,5.97,1.41,–,7.70,–,11.9,5.97,1.41,–,7.70,–,–,–,–,–,–,–,–,–,–,21.0,11.2,–,–,–, 1.200 
Square HSS,HSS4X4X.375,HSS4X4X3/8,0.349,17.27,4.78,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.46,8.46,–,10.3,5.13,1.47,–,6.39,–,10.3,5.13,1.47,–,6.39,–,–,–,–,–,–,–,–,2  5/16,2  5/16,17.5,9.14,–,–,–, 1.230 
Square HSS,HSS4X4X.313,HSS4X4X5/16,0.291,14.83,4.10,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.7,10.7,,9.14,4.57,1.49,–,5.59,–,9.14,4.57,1.49,–,5.59,–,–,–,–,–,–,–,–,2  5/8 ,2  5/8 ,15.3,7.91,–,–,–, 1.250 
Square HSS,HSS4X4X.250,HSS4X4X1/4,0.233,12.21,3.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.2,14.2,–,7.80,3.90,1.52,–,4.69,–,7.80,3.90,1.52,–,4.69,–,–,–,–,–,–,–,–,2  7/8 ,2  7/8 ,12.8,6.56,–,–,–, 1.270 
Square HSS,HSS4X4X.188,HSS4X4X3/16,0.174,9.42,2.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.0,20.0,–,6.21,3.10,1.55,–,3.67,–,6.21,3.10,1.55,–,3.67,–,–,–,–,–,–,–,–,3  3/16,3  3/16,10.0,5.07,–,–,–, 1.280 
Square HSS,HSS4X4X.125,HSS4X4X1/8,0.116,6.46,1.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,31.5,31.5,–,4.40,2.20,1.58,–,2.56,–,4.40,2.20,1.58,–,2.56,–,–,–,–,–,–,–,–,3  7/16,3  7/16,6.91,3.49,–,–,–, 1.300 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS3-1/2X3-1/2X.375,HSS3-1/2X3-1/2X3/8,0.349,14.72,4.09,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.03,7.03,–,6.49,3.71,1.26,–,4.69,–,6.49,3.71,1.26,–,4.69,–,–,–,–,–,–,–,–,–,–,11.2,6.77,–,–,–, 1.070 
Square HSS,HSS3-1/2X3-1/2X.313,HSS3-1/2X3-1/2X5/16,0.291,12.70,3.52,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.03,9.03,,5.84,3.34,1.29,–,4.14,–,5.84,3.34,1.29,–,4.14,–,–,–,–,–,–,–,–,2  1/8 ,2  1/8 ,9.89,5.90,–,–,–, 1.080 
Square HSS,HSS3-1/2X3-1/2X.250,HSS3-1/2X3-1/2X1/4,0.233,10.51,2.91,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.0,12.0,–,5.04,2.88,1.32,–,3.50,–,5.04,2.88,1.32,–,3.50,–,–,–,–,–,–,–,–,2  3/8 ,2  3/8 ,8.35,4.92,–,–,–, 1.100 
Square HSS,HSS3-1/2X3-1/2X188,HSS3-1/2X3-1/2X3/16,0.174,8.15,2.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.1,17.1,–,4.05,2.31,1.35,–,2.76,–,4.05,2.31,1.35,–,2.76,–,–,–,–,–,–,–,–,2 11/16,2 11/16,6.56,3.83,–,–,–, 1.120 
Square HSS,HSS3-1/2X3-1/2X.125,HSS3-1/2X3-1/2X1/8,0.116,5.61,1.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,27.2,27.2,–,2.90,1.66,1.37,–,1.93,–,2.90,1.66,1.37,–,1.93,–,–,–,–,–,–,–,–,2 15/16,2 15/16,4.58,2.65,–,–,–, 1.130 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS3X3X.375,HSS3X3X3/8,0.349,12.17,3.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.60,5.60,–,3.78,2.52,1.06,–,3.25,–,3.78,2.52,1.06,–,3.25,–,–,–,–,–,–,–,–,–,–,6.64,4.74,–,–,–, 0.900 
Square HSS,HSS3X3X.313,HSS3X3X5/16,0.291,10.58,2.94,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.31,7.31,,3.45,2.30,1.08,–,2.90,–,3.45,2.30,1.08,–,2.90,–,–,–,–,–,–,–,–,–,–,5.94,4.18,–,–,–, 0.917 
Square HSS,HSS3X3X.250,HSS3X3X1/4,0.233,8.81,2.44,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.88,9.88,–,3.02,2.01,1.11,–,2.48,–,3.02,2.01,1.11,–,2.48,–,–,–,–,–,–,–,–,–,–,5.08,3.52,–,–,–, 0.933 
Square HSS,HSS3X3X.188,HSS3X3X3/16,0.174,6.87,1.89,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.2,14.2,–,2.46,1.64,1.14,–,1.97,–,2.46,1.64,1.14,–,1.97,–,–,–,–,–,–,–,–,2  3/16,2  3/16,4.03,2.76,–,–,–, 0.950 
Square HSS,HSS3X3X.125,HSS3X3X1/8,0.116,4.75,1.30,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.9,22.9,–,1.78,1.19,1.17,–,1.40,–,1.78,1.19,1.17,–,1.40,–,–,–,–,–,–,–,–,2  7/16,2  7/16,2.84,1.92,–,–,–, 0.967 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS2-1/2X2-1/2X.313,HSS2-1/2X2-1/2X5/16,0.291,8.45,2.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.59,5.59,,1.82,1.46,0.880,–,1.88,–,1.82,1.46,0.880,–,1.88,–,–,–,–,–,–,–,–,–,–,3.20,2.74,–,–,–, 0.750 
Square HSS,HSS2-1/2X2-1/2X.250,HSS2-1/2X2-1/2X1/4,0.233,7.11,1.97,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.73,7.73,–,1.63,1.30,0.908,–,1.63,–,1.63,1.30,0.908,–,1.63,–,–,–,–,–,–,–,–,–,–,2.79,2.35,–,–,–, 0.767 
Square HSS,HSS2-1/2X2-1/2X.188,HSS2-1/2X2-1/2X3/16,0.174,5.59,1.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.4,11.4,–,1.35,1.08,0.937,–,1.32,–,1.35,1.08,0.937,–,1.32,–,–,–,–,–,–,–,–,–,–,2.25,1.86,–,–,–, 0.784 
Square HSS,HSS2-1/2X2-1/2X.125,HSS2-1/2X2-1/2X1/8,0.116,3.90,1.07,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.6,18.6,–,0.998,0.799,0.965,–,0.947,–,0.998,0.799,0.965,–,0.947,–,–,–,–,–,–,–,–,–,–,1.61,1.31,–,–,–, 0.800 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS2-1/4X2-1/4X.250,HSS2-1/4X2-1/4X1/4,0.233,6.26,1.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.66,6.66,–,1.13,1.01,0.806,–,1.28,–,1.13,1.01,0.806,–,1.28,–,–,–,–,–,–,–,–,–,–,1.96,1.85,–,–,–, 0.683 
Square HSS,HSS2-1/4X2-1/4X.188,HSS2-1/4X2-1/4X3/16,0.174,4.96,1.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.93,9.93,–,0.953,0.847,0.835,–,1.04,–,0.953,0.847,0.835,–,1.04,–,–,–,–,–,–,–,–,–,–,1.60,1.48,–,–,–, 0.700 
Square HSS,HSS2-1/4X2-1/4X.125,HSS2-1/4X2-1/4X1/8,0.116,3.48,0.956,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.4,16.4,–,0.712,0.633,0.863,–,0.755,–,0.712,0.633,0.863,–,0.755,–,–,–,–,–,–,–,–,–,–,1.15,1.05,–,–,–, 0.717 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square HSS,HSS2X2X.250,HSS2X2X1/4,0.233,5.41,1.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.58,5.58,,0.747,0.747,0.704,–,0.964,–,0.747,0.747,0.704,–,0.964,–,–,–,–,–,–,–,–,–,–,1.31,1.41,–,–,–, 0.600 
Square HSS,HSS2X2X.188,HSS2X2X3/16,0.174,4.32,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.49,8.49,,0.641,0.641,0.733,–,0.797,–,0.641,0.641,0.733,–,0.797,–,–,–,–,–,–,–,–,–,–,1.09,1.14,–,–,–, 0.617 
Square HSS,HSS2X2X.125,HSS2X2X1/8,0.116,3.05,0.840,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.2,14.2,,0.486,0.486,0.761,–,0.584,–,0.486,0.486,0.761,–,0.584,–,–,–,–,–,–,–,–,–,–,0.796,0.817,–,–,–, 0.633 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round HSS,HSS20X.500,HSS20.000X0.500,0.465,104.00,28.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,43.0,–,–,43.0,1360,136,6.91,–,177,–,1360,136,6.91,–,177,–,–,–,–,–,–,–,–,,,2720,272,–,–,–,
Round HSS,HSS20X.375,HSS20.000X0.375,0.349,78.67,21.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,57.3,–,–,57.3,1040,104,6.95,–,135,–,1040,104,6.95,–,135,–,–,–,–,–,–,–,–,,,2080,208,–,–,–,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round HSS,HSS18X.500,HSS18.000X0.500,0.465,93.54,25.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38.7,–,–,38.7,985,109,6.20,–,143,–,985,109,6.20,–,143,–,–,–,–,–,–,–,–,,,1970,219,–,–,–,
Round HSS,HSS18X.375,HSS18.000X0.375,0.349,70.66,19.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,51.6,–,–,51.6,754,83.8,6.24,–,109,–,754,83.8,6.24,–,109,–,–,–,–,–,–,–,–,,,1510,168,–,–,–,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round HSS,HSS16X.625,HSS16.000X0.625,0.581,103.00,28.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,27.5,–,–,27.5,838,105,5.46,–,138,–,838,105,5.46,–,138,–,–,–,–,–,–,–,–,,,1680,209,–,–,–,
Round HSS,HSS16X.500,HSS16.000X0.500,0.465,82.85,22.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34.4,–,–,34.4,685,85.7,5.49,–,112,–,685,85.7,5.49,–,112,–,–,–,–,–,–,–,–,,,1370,171,–,–,–,
Round HSS,HSS16X.438,HSS16.000X0.438,0.407,72.87,19.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39.3,–,–,39.3,606,75.8,5.51,–,99.0,–,606,75.8,5.51,–,99.0,–,–,–,–,–,–,–,–,,,1210,152,–,–,–,
Round HSS,HSS16X.375,HSS16.000X0.375,0.349,62.64,17.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,45.8,–,–,45.8,526,65.7,5.53,–,85.5,–,526,65.7,5.53,–,85.5,–,–,–,–,–,–,–,–,,,1050,131,–,–,–,
Round HSS,HSS16X.312,HSS16.000X0.312,0.291,52.32,14.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,55.0,–,–,55.0,443,55.4,5.55,–,71.8,–,443,55.4,5.55,–,71.8,–,–,–,–,–,–,–,–,,,886,111,–,–,–,
Round HSS,HSS16X.250,HSS16.000X0.250,0.233,42.09,11.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,68.7,–,–,68.7,359,44.8,5.58,–,57.9,–,359,44.8,5.58,–,57.9,–,–,–,–,–,–,–,–,,,717,89.7,–,–,–,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round HSS,HSS14X.625,HSS14.000X0.625,0.581,89.36,24.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,24.1,–,–,24.1,552,78.9,4.75,–,105,–,552,78.9,4.75,–,105,–,–,–,–,–,–,–,–,,,1100,158,–,–,–,
Round HSS,HSS14X.500,HSS14.000X0.500,0.465,72.16,19.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30.1,–,–,30.1,453,64.8,4.79,–,85.2,–,453,64.8,4.79,–,85.2,–,–,–,–,–,–,–,–,,,907,130,–,–,–,
Round HSS,HSS14X.375,HSS14.000X0.375,0.349,54.62,15.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40.1,–,–,40.1,349,49.8,4.83,–,65.1,–,349,49.8,4.83,–,65.1,–,–,–,–,–,–,–,–,,,698,100,–,–,–,
Round HSS,HSS14X.312,HSS14.000X0.312,0.291,45.65,12.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,48.1,–,–,48.1,295,42.1,4.85,–,54.7,–,295,42.1,4.85,–,54.7,–,–,–,–,–,–,–,–,,,589,84.2,–,–,–,
Round HSS,HSS14X.250,HSS14.000X0.250,0.233,36.75,10.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,60.1,–,–,60.1,239,34.1,4.87,–,44.2,–,239,34.1,4.87,–,44.2,–,–,–,–,–,–,–,–,,,478,68.2,–,–,–,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round HSS,HSS12.75X.500,HSS12.750X0.500,0.465,65.48,17.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,27.4,–,–,27.4,339,53.2,4.35,–,70.2,–,339,53.2,4.35,–,70.2,–,–,–,–,–,–,–,–,,,678,106,–,–,–,
Round HSS,HSS12.75X.375,HSS12.750X0.375,0.349,49.61,13.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36.5,–,–,36.5,262,41.0,4.39,–,53.7,–,262,41.0,4.39,–,53.7,–,–,–,–,–,–,–,–,,,523,82.1,–,–,–,
Round HSS,HSS12.75X.250,HSS12.750X0.250,0.233,33.41,9.16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,54.7,–,–,54.7,180,28.2,4.43,–,36.5,–,180,28.2,4.43,–,36.5,–,–,–,–,–,–,–,–,,,359,56.3,–,–,–,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round HSS,HSS10.75X.500,HSS10.750X0.500,0.465,54.79,15.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,23.1,–,–,23.1,199,37.0,3.64,–,49.2,–,199,37.0,3.64,–,49.2,–,–,–,–,–,–,–,–,,,398,74.1,–,–,–,
Round HSS,HSS10.75X.375,HSS10.750X0.375,0.349,41.59,11.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30.8,–,–,30.8,154,28.7,3.68,–,37.8,–,154,28.7,3.68,–,37.8,–,–,–,–,–,–,–,–,,,309,57.4,–,–,–,
Round HSS,HSS10.75X.250,HSS10.750X0.250,0.233,28.06,7.70,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,46.1,–,–,46.1,106,19.8,3.72,–,25.8,–,106,19.8,3.72,–,25.8,–,–,–,–,–,–,–,–,,,213,39.6,–,–,–,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round HSS,HSS10X.625,HSS10.000X0.625,0.581,62.64,17.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.2,–,–,17.2,191,38.3,3.34,–,51.6,–,191,38.3,3.34,–,51.6,–,–,–,–,–,–,–,–,,,383,76.6,–,–,–,
Round HSS,HSS10X.500,HSS10.000X0.500,0.465,50.78,13.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,21.5,–,–,21.5,159,31.7,3.38,–,42.3,–,159,31.7,3.38,–,42.3,–,–,–,–,–,–,–,–,,,317,63.5,–,–,–,
Round HSS,HSS10X.375,HSS10.000X0.375,0.349,38.58,10.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.7,–,–,28.7,123,24.7,3.41,–,32.5,–,123,24.7,3.41,–,32.5,–,–,–,–,–,–,–,–,,,247,49.3,–,–,–,
Round HSS,HSS10X.312,HSS10.000X0.312,0.291,32.31,8.88,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34.4,–,–,34.4,105,20.9,3.43,–,27.4,–,105,20.9,3.43,–,27.4,–,–,–,–,–,–,–,–,,,209,41.9,–,–,–,
