Type,EDI_Std_Nomenclature,AISC_Manual_Label,Design Wall Thickness,Nominal Weight,"Area, A","Depth, d",,Web/Stem,,,,Flange,,,,Distance,,,,,,Shear Critical,Compact Section Criteria,,,b/t,h/t,D/t,Axis X - X,,,,,,Axis Y - Y,,,,,,Axis Z - Z,,,,rts,ho,J/Sxho,Workable Flat,,Torsional Properties,,,,, Surface Area 
,,,,,,,,,,,,,,,,k,,k1,T,Workable Gage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,t,W,,,,"Thickness, tw",,tw/2,Area,"Width, bf",,"Thickness, tf",,kdes,kdet,,,WGi,WGo,eo,,,,,,,I,S,r,y?,Z,yp,I,S,r,x?,Z,xp,I,S,r,tan ?,,,,Depth,Width,J,C,Cw,r?o,H,
,,,in.,lb/ft,in.2,in.,,in.,,in.,in.2,in.,,in.,,in.,,in.,in.,in.,in.,in.,bf/2tf,h/tw,d/tw,,,,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,,in.,in.,,in.,in.,in.4,in.3,in.6,in.,, ft2/ft 
W,W40X264,W40X264,–,264,77.4,40.0,40      ,0.960, 15/16,  1/2 ,–,11.9,11  7/8 ,1.73,1  3/4 ,2.91,3      ,1 11/16,34      ,7  1/2 ,–,–,3.45,35.6,–,–,–,–,19400,971,15.8,–,1130,–,493,82.6,2.52,–,132,–,–,–,–,–,3.12,38.3,0.001508,–,–,56.1,–,181000,–,–,–
W,W40X235,W40X235,–,235,69.1,39.7,39  3/4 ,0.830, 13/16,  7/16,–,11.9,11  7/8 ,1.58,1  9/16,2.76,2  7/8 ,1  5/8 ,34      ,7  1/2 ,–,–,3.77,41.2,–,–,–,–,17400,875,15.9,–,1010,–,444,74.6,2.54,–,118,–,–,–,–,–,3.11,38.1,0.001239,–,–,41.3,–,161000,–,–,–
W,W40X211,W40X211,–,211,62.1,39.4,39  3/8 ,0.750,  3/4 ,  3/8 ,–,11.8,11  3/4 ,1.42,1  7/16,2.60,2 11/16,1  9/16,34      ,7  1/2 ,–,–,4.17,45.6,–,–,–,–,15500,786,15.8,–,906,–,390,66.1,2.51,–,105,–,–,–,–,–,3.07,38.0,0.001018,–,–,30.4,–,141000,–,–,–
W,W40X183,W40X183,–,183,53.3,39.0,39      ,0.650,  5/8 ,  5/16,–,11.8,11  3/4 ,1.20,1  3/16,2.38,2  1/2 ,1  9/16,34      ,7  1/2 ,–,–,4.92,52.6,–,–,–,–,13200,675,15.7,–,774,–,331,56.0,2.49,–,88.3,–,–,–,–,–,3.04,37.8,0.000756,–,–,19.3,–,118000,–,–,–
W,W40X167,W40X167,–,167,49.3,38.6,38  5/8 ,0.650,  5/8 ,  5/16,–,11.8,11  3/4 ,1.03,1      ,2.21,2  5/16,1  9/16,34      ,7  1/2 ,–,–,5.76,52.6,–,–,–,–,11600,600,15.3,–,693,–,283,47.9,2.40,–,76.0,–,–,–,–,–,2.98,37.6,0.000621,–,–,14.0,–,99700,–,–,–
W,W40X149,W40X149,–,149,43.8,38.2,38  1/4 ,0.630,  5/8 ,  5/16,–,11.8,11  3/4 ,0.830, 13/16,2.01,2  1/8 ,1  1/2 ,34      ,7  1/2 ,–,–,7.11,54.3,–,–,–,–,9800,513,15.0,–,598,–,229,38.8,2.29,–,62.2,–,–,–,–,–,2.89,37.4,0.000488,–,–,9.36,–,80000,–,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X925,W36X925,–,925,272,43.1,43  1/8 ,3.02,3      ,1  1/2 ,–,18.6,18  5/8 ,4.53,4  1/2 ,5.28,5  3/8 ,2  5/16,32  3/8 ,7  1/2 ,3    ,–,2.05,10.8,–,–,–,–,73000,3390,16.4,–,4130,–,4940,531,4.26,–,862,–,–,–,–,–,5.30,38.6,0.010928,–,–,1430,–,1840000,–,–,–
W,W36X853,W36X853,–,853,251,43.1,43  1/8 ,2.52,2  1/2 ,1  1/4 ,–,18.2,18  1/4 ,4.53,4  1/2 ,5.28,5  3/8 ,2  1/16,32  3/8 ,7  1/2 ,3    ,–,2.01,12.9,–,–,–,–,70000,3250,16.7,–,3920,–,4600,505,4.28,–,805,–,–,–,–,–,5.22,38.6,0.009884,–,–,1240,–,1710000,–,–,–
W,W36X802,W36X802,–,802,236,42.6,42  5/8 ,2.38,2  3/8 ,1  3/16,–,18.0,18      ,4.29,4  5/16,5.04,5  1/8 ,2      ,32  3/8 ,7  1/2 ,3    ,–,2.10,13.7,–,–,–,–,64800,3040,16.6,–,3660,–,4210,468,4.22,–,744,–,–,–,–,–,5.15,38.3,0.009018,–,–,1050,–,1540000,–,–,–
W,W36X723,W36X723,–,723,213,41.8,41  3/4 ,2.17,2  3/16,1  1/8 ,–,17.8,17  3/4 ,3.90,3  7/8 ,4.65,4 11/16,1  7/8 ,32  3/8 ,7  1/2 ,3    ,–,2.28,15.0,–,–,–,–,57300,2740,16.4,–,3270,–,3700,416,4.17,–,658,–,–,–,–,–,5.06,37.9,0.007559,–,–,785,–,1330000,–,–,–
W,W36X652,W36X652,–,652,192,41.1,41      ,1.97,2      ,1      ,–,17.6,17  5/8 ,3.54,3  9/16,4.49,4 13/16,2  3/16,31  3/8 ,7  1/2 ,3    ,–,2.48,16.3,–,–,–,–,50600,2460,16.2,–,2910,–,3230,367,4.10,–,581,–,–,–,–,–,4.96,37.6,0.006411,–,–,593,–,1130000,–,–,–
W,W36X529,W36X529,–,529,156,39.8,39  3/4 ,1.61,1  5/8 , 13/16,–,17.2,17  1/4 ,2.91,2 15/16,3.86,4  3/16,2      ,31  3/8 ,7  1/2 ,3    ,–,2.96,19.9,–,–,–,–,39600,1990,16.0,–,2330,–,2490,289,4.00,–,454,–,–,–,–,–,4.80,36.9,0.004453,–,–,327,–,846000,–,–,–
W,W36X487,W36X487,–,487,143,39.3,39  3/8 ,1.50,1  1/2 ,  3/4 ,–,17.1,17  1/8 ,2.68,2 11/16,3.63,4      ,1  7/8 ,31  3/8 ,7  1/2 ,3    ,–,3.19,21.4,–,–,–,–,36000,1830,15.8,–,2130,–,2250,263,3.96,–,412,–,–,–,–,–,4.74,36.6,0.003852,–,–,258,–,754000,–,–,–
W,W36X441,W36X441,–,441,130,38.9,38  7/8 ,1.36,1  3/8 , 11/16,–,17.0,17      ,2.44,2  7/16,3.39,3  3/4 ,1  7/8 ,31  3/8 ,7  1/2 ,3    ,–,3.48,23.6,–,–,–,–,32100,1650,15.7,–,1910,–,1990,235,3.92,–,368,–,–,–,–,–,4.69,36.5,0.003221,–,–,194,–,661000,–,–,–
W,W36X395,W36X395,–,395,116,38.4,38  3/8 ,1.22,1  1/4 ,  5/8 ,–,16.8,16  7/8 ,2.20,2  3/16,3.15,3  7/16,1 13/16,31  3/8 ,7  1/2 ,3    ,–,3.83,26.3,–,–,–,–,28500,1490,15.7,–,1710,–,1750,208,3.88,–,325,–,–,–,–,–,4.61,36.2,0.002633,–,–,142,–,575000,–,–,–
W,W36X361,W36X361,–,361,106,38.0,38      ,1.12,1  1/8 ,  9/16,–,16.7,16  3/4 ,2.01,2      ,2.96,3  5/16,1  3/4 ,31  3/8 ,7  1/2 ,3    ,–,4.16,28.6,–,–,–,–,25700,1350,15.6,–,1550,–,1570,188,3.85,–,293,–,–,–,–,–,4.58,36.0,0.002243,–,–,109,–,509000,–,–,–
W,W36X330,W36X330,–,330,96.9,37.7,37  5/8 ,1.02,1      ,  1/2 ,–,16.6,16  5/8 ,1.85,1  7/8 ,2.80,3  1/8 ,1  3/4 ,31  3/8 ,7  1/2 ,3    ,–,4.49,31.4,–,–,–,–,23300,1240,15.5,–,1410,–,1420,171,3.83,–,265,–,–,–,–,–,4.53,35.9,0.001894,–,–,84.3,–,456000,–,–,–
W,W36X302,W36X302,–,302,89.0,37.3,37  3/8 ,0.945, 15/16,  1/2 ,–,16.7,16  5/8 ,1.68,1 11/16,2.63,3      ,1 11/16,31  3/8 ,7  1/2 ,3    ,–,4.96,33.9,–,–,–,–,21100,1130,15.4,–,1280,–,1300,156,3.82,–,241,–,–,–,–,–,4.53,35.6,0.001598,–,–,64.3,–,412000,–,–,–
W,W36X282,W36X282,–,282,82.9,37.1,37  1/8 ,0.885,  7/8 ,  7/16,–,16.6,16  5/8 ,1.57,1  9/16,2.52,2  7/8 ,1  5/8 ,31  3/8 ,7  1/2 ,3    ,–,5.29,36.2,–,–,–,–,19600,1050,15.4,–,1190,–,1200,144,3.80,–,223,–,–,–,–,–,4.50,35.5,0.001414,–,–,52.7,–,378000,–,–,–
W,W36X262,W36X262,–,262,77.2,36.9,36  7/8 ,0.840, 13/16,  7/16,–,16.6,16  1/2 ,1.44,1  7/16,2.39,2  3/4 ,1  5/8 ,31  3/8 ,7  1/2 ,3    ,–,5.75,38.2,–,–,–,–,17900,972,15.3,–,1100,–,1090,132,3.76,–,204,–,–,–,–,–,4.46,35.5,0.001206,–,–,41.6,–,342000,–,–,–
W,W36X247,W36X247,–,247,72.5,36.7,36  5/8 ,0.800, 13/16,  7/16,–,16.5,16  1/2 ,1.35,1  3/8 ,2.30,2  5/8 ,1  5/8 ,31  3/8 ,7  1/2 ,3    ,–,6.11,40.1,–,–,–,–,16700,913,15.2,–,1030,–,1010,123,3.74,–,190,–,–,–,–,–,4.42,35.4,0.001074,–,–,34.7,–,316000,–,–,–
W,W36X231,W36X231,–,231,68.2,36.5,36  1/2 ,0.760,  3/4 ,  3/8 ,–,16.5,16  1/2 ,1.26,1  1/4 ,2.21,2  9/16,1  9/16,31  3/8 ,7  1/2 ,3    ,–,6.54,42.2,–,–,–,–,15600,854,15.1,–,963,–,940,114,3.71,–,176,–,–,–,–,–,4.40,35.2,0.000955,–,–,28.7,–,292000,–,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X256,W36X256,–,256,75.3,37.4,37  3/8 ,0.960, 15/16,  1/2 ,–,12.2,12  1/4 ,1.73,1  3/4 ,2.48,2 15/16,1 11/16,31  1/2 ,5  1/2 ,–,–,3.53,33.8,–,–,–,–,16800,895,14.9,–,1040,–,528,86.5,2.65,–,137,–,–,–,–,–,3.24,35.7,0.001656,–,–,52.9,–,168000,–,–,–
W,W36X232,W36X232,–,232,68.0,37.1,37  1/8 ,0.870,  7/8 ,  7/16,–,12.1,12  1/8 ,1.57,1  9/16,2.32,2 13/16,1  5/8 ,31  1/2 ,5  1/2 ,–,–,3.86,37.3,–,–,–,–,15000,809,14.8,–,936,–,468,77.2,2.62,–,122,–,–,–,–,–,3.21,35.5,0.001379,–,–,39.6,–,148000,–,–,–
