,,,,,,,,,,5400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400.00,,,,,,,,,,,,,,,,,,,,,5400.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,lamda p,lamda r,compaction,Mu,EQ 1,EQ 2,tw,EQ 3,REMARKS,Vu,PHI,GAMMA,CV,Mu Ref,Vu Ref,bf/2tf,RESULT,b/tdes,h/tw,RESULT,bf/2tf,Zx,Sx,closest Mu,WEIGHT,LIGHTEST,Ix,,lamda p,lamda r,compaction,Mu,EQ 1,EQ 2,EQ 3,REMARKS,Vu,PHI,GAMMA,CV,Mu Ref,Vu Ref,weight,RESULT,LIGHTEST,ALLOWABLE,MAX,REMARKS,,lamda p,lamda r,compaction,Ma,EQ 1,EQ 2,EQ 3,REMARKS,Va,PHI,GAMMA,CV,Ma Ref,Va Ref,weight,RESULT,LIGHTEST
19,W40X199,W40X199,F,199,58.8,38.7,10.78527803,28.38231061,COMPACT,2346.30,63.57637577,69.81125347,0.650,86.95,1,543,1,1.5,1,SAFE,SAFE,7.39,2346.3,543.348,52.6,–,7.39,869,770,–,199,–,14900,,10.78527803,28.38231061,COMPACT,2346.30,63.57637577,69.81125347,86.95,1,543,1,1.5,1,SAFE,SAFE,199,–,–,,,,,10.78527803,28.38231061,COMPACT,1561.08,63.57637577,69.81125347,86.95,1,362.23,1,1.5,1,SAFE,SAFE,199,–,–
20,W40X392,W40X392,T,392,116,41.6,10.78527803,28.38231061,COMPACT,4617.00,63.57637577,69.81125347,1.42,86.95,1,1276,1,1.5,1,SAFE,SAFE,2.45,4617,1275.9552,24.1,–,2.45,1710,1440,–,392,–,29900,,10.78527803,28.38231061,COMPACT,4617.00,63.57637577,69.81125347,86.95,1,1276,1,1.5,1,SAFE,SAFE,392,–,–,,,,,10.78527803,28.38231061,COMPACT,3071.86,63.57637577,69.81125347,86.95,1,850.64,1,1.5,1,SAFE,SAFE,392,–,–
21,W40X331,W40X331,T,331,97.7,40.8,10.78527803,28.38231061,COMPACT,3861.00,63.57637577,69.81125347,1.22,86.95,1,1075,1,1.5,1,SAFE,SAFE,2.86,3861,1075.1616,28.0,–,2.86,1430,1210,–,331,–,24700,,10.78527803,28.38231061,COMPACT,3861.00,63.57637577,69.81125347,86.95,1,1075,1,1.5,1,SAFE,SAFE,331,–,–,,,,,10.78527803,28.38231061,COMPACT,2568.86,63.57637577,69.81125347,86.95,1,716.77,1,1.5,1,SAFE,SAFE,331,–,–
22,W40X327,W40X327,T,327,95.9,40.8,10.78527803,28.38231061,COMPACT,3807.00,63.57637577,69.81125347,1.18,86.95,1,1040,1,1.5,1,SAFE,SAFE,2.85,3807,1039.9104,29.0,–,2.85,1410,1200,–,327,–,24500,,10.78527803,28.38231061,COMPACT,3807.00,63.57637577,69.81125347,86.95,1,1040,1,1.5,1,SAFE,SAFE,327,–,–,,,,,10.78527803,28.38231061,COMPACT,2532.93,63.57637577,69.81125347,86.95,1,693.27,1,1.5,1,SAFE,SAFE,327,–,–
23,W40X294,W40X294,F,294,86.2,40.4,10.78527803,28.38231061,COMPACT,3429.00,63.57637577,69.81125347,1.06,86.95,1,925,1,1.5,1,SAFE,SAFE,3.11,3429,924.9984,32.2,–,3.11,1270,1080,–,294,–,21900,,10.78527803,28.38231061,COMPACT,3429.00,63.57637577,69.81125347,86.95,1,925,1,1.5,1,SAFE,SAFE,294,–,–,,,,,10.78527803,28.38231061,COMPACT,2281.44,63.57637577,69.81125347,86.95,1,616.67,1,1.5,1,SAFE,SAFE,294,–,–
24,W40X278,W40X278,F,278,82.3,40.2,10.78527803,28.38231061,COMPACT,3213.00,63.57637577,69.81125347,1.03,86.95,1,894,1,1.5,1,SAFE,SAFE,3.31,3213,894.3696,33.3,–,3.31,1190,1020,–,278,–,20500,,10.78527803,28.38231061,COMPACT,3213.00,63.57637577,69.81125347,86.95,1,894,1,1.5,1,SAFE,SAFE,278,–,–,,,,,10.78527803,28.38231061,COMPACT,2137.72,63.57637577,69.81125347,86.95,1,596.25,1,1.5,1,SAFE,SAFE,278,–,–
25,W40X264,W40X264,F,264,77.4,40.0,10.78527803,28.38231061,COMPACT,3051.00,63.57637577,69.81125347,0.960,86.95,1,829,1,1.5,1,SAFE,SAFE,3.45,3051,829.44,35.6,–,3.45,1130,971,–,264,–,19400,,10.78527803,28.38231061,COMPACT,3051.00,63.57637577,69.81125347,86.95,1,829,1,1.5,1,SAFE,SAFE,264,–,–,,,,,10.78527803,28.38231061,COMPACT,2029.94,63.57637577,69.81125347,86.95,1,552.96,1,1.5,1,SAFE,SAFE,264,–,–
26,W40X235,W40X235,F,235,69.1,39.7,10.78527803,28.38231061,COMPACT,2727.00,63.57637577,69.81125347,0.830,86.95,1,712,1,1.5,1,SAFE,SAFE,3.77,2727,711.7416,41.2,–,3.77,1010,875,–,235,–,17400,,10.78527803,28.38231061,COMPACT,2727.00,63.57637577,69.81125347,86.95,1,712,1,1.5,1,SAFE,SAFE,235,–,–,,,,,10.78527803,28.38231061,COMPACT,1814.37,63.57637577,69.81125347,86.95,1,474.49,1,1.5,1,SAFE,SAFE,235,–,–
27,W40X211,W40X211,F,211,62.1,39.4,10.78527803,28.38231061,COMPACT,2446.20,63.57637577,69.81125347,0.750,86.95,1,638,1,1.5,1,SAFE,SAFE,4.17,2446.2,638.28,45.6,–,4.17,906,786,–,211,–,15500,,10.78527803,28.38231061,COMPACT,2446.20,63.57637577,69.81125347,86.95,1,638,1,1.5,1,SAFE,SAFE,211,–,–,,,,,10.78527803,28.38231061,COMPACT,1627.54,63.57637577,69.81125347,86.95,1,425.52,1,1.5,1,SAFE,SAFE,211,–,–
28,W40X183,W40X183,F,183,53.3,39.0,10.78527803,28.38231061,COMPACT,2089.80,63.57637577,69.81125347,0.650,86.95,1,548,1,1.5,1,SAFE,SAFE,4.92,2089.8,547.56,52.6,–,4.92,774,675,–,183,–,13200,,10.78527803,28.38231061,COMPACT,2089.80,63.57637577,69.81125347,86.95,1,548,1,1.5,1,SAFE,SAFE,183,–,–,,,,,10.78527803,28.38231061,COMPACT,1390.42,63.57637577,69.81125347,86.95,1,365.04,1,1.5,1,SAFE,SAFE,183,–,–
